Archive:  /mnt/data/openpatch_agent_gateway_v16_candidate.zip
    testing: openpatch_agent_gateway_v16_candidate/docs/30_V11_AGENT_API_QUICK_REFERENCE.md   OK
    testing: openpatch_agent_gateway_v16_candidate/docs/31_V11_REAL_SMOKE_HANDOFF.md   OK
    testing: openpatch_agent_gateway_v16_candidate/docs/32_V11_STATUS_AND_NEXT_TASKS.md   OK
    testing: openpatch_agent_gateway_v16_candidate/docs/33_V12_IMPLEMENTATION_REPORT.md   OK
    testing: openpatch_agent_gateway_v16_candidate/docs/34_V12_CODEX_API_QUICK_REFERENCE.md   OK
    testing: openpatch_agent_gateway_v16_candidate/docs/35_V12_REAL_SMOKE_GATE.md   OK
    testing: openpatch_agent_gateway_v16_candidate/docs/36_V13_IMPLEMENTATION_REPORT.md   OK
    testing: openpatch_agent_gateway_v16_candidate/docs/37_V13_AGENT_API_QUICK_REFERENCE.md   OK
    testing: openpatch_agent_gateway_v16_candidate/docs/38_V13_ALIAS_BINDING_AND_SCALE_PREVENTION.md   OK
    testing: openpatch_agent_gateway_v16_candidate/docs/39_V14_IMPLEMENTATION_REPORT.md   OK
    testing: openpatch_agent_gateway_v16_candidate/docs/40_V14_AGENT_API_QUICK_REFERENCE.md   OK
    testing: openpatch_agent_gateway_v16_candidate/docs/41_V14_PREFLIGHT_GATE_AND_SMOKE_PATH.md   OK
    testing: openpatch_agent_gateway_v16_candidate/docs/42_V15_IMPLEMENTATION_REPORT.md   OK
    testing: openpatch_agent_gateway_v16_candidate/docs/43_V15_AGENT_API_QUICK_REFERENCE.md   OK
    testing: openpatch_agent_gateway_v16_candidate/docs/44_V15_CODEX_BRIDGE_SMOKE_PATH.md   OK
    testing: openpatch_agent_gateway_v16_candidate/docs/45_V16_IMPLEMENTATION_REPORT.md   OK
    testing: openpatch_agent_gateway_v16_candidate/docs/46_V16_AGENT_API_QUICK_REFERENCE.md   OK
    testing: openpatch_agent_gateway_v16_candidate/docs/47_V16_NEXT_HOP_SMOKE_CHAIN.md   OK
    testing: openpatch_agent_gateway_v16_candidate/schemas/   OK
    testing: openpatch_agent_gateway_v16_candidate/schemas/openpatch.agent_button.v3.schema.json   OK
    testing: openpatch_agent_gateway_v16_candidate/schemas/openpatch.upload_receipt.v1.schema.json   OK
    testing: openpatch_agent_gateway_v16_candidate/schemas/openpatch.latest.v1.schema.json   OK
    testing: openpatch_agent_gateway_v16_candidate/schemas/openpatch.route_profiles.v1.schema.json   OK
    testing: openpatch_agent_gateway_v16_candidate/schemas/openpatch.bridge_latest.v1.schema.json   OK
    testing: openpatch_agent_gateway_v16_candidate/schemas/openpatch.bridge_queue.v1.schema.json   OK
    testing: openpatch_agent_gateway_v16_candidate/schemas/openpatch.sha_index.v1.schema.json   OK
    testing: openpatch_agent_gateway_v16_candidate/schemas/openpatch.agent_button.v6.schema.json   OK
    testing: openpatch_agent_gateway_v16_candidate/schemas/openpatch.agent_summary.v1.schema.json   OK
    testing: openpatch_agent_gateway_v16_candidate/schemas/openpatch.auto_continue_plan.v1.schema.json   OK
    testing: openpatch_agent_gateway_v16_candidate/schemas/openpatch.bridge_queue.v2.schema.json   OK
    testing: openpatch_agent_gateway_v16_candidate/schemas/openpatch.agent_button.v8.schema.json   OK
    testing: openpatch_agent_gateway_v16_candidate/schemas/openpatch.github_rate_status.v8.schema.json   OK
    testing: openpatch_agent_gateway_v16_candidate/schemas/openpatch.events_compact.v8.schema.json   OK
    testing: openpatch_agent_gateway_v16_candidate/schemas/openpatch.route_conflicts.v9.schema.json   OK
    testing: openpatch_agent_gateway_v16_candidate/schemas/openpatch.agent_button.v9.schema.json   OK
    testing: openpatch_agent_gateway_v16_candidate/schemas/openpatch.agent_button.v10.schema.json   OK
    testing: openpatch_agent_gateway_v16_candidate/schemas/openpatch.route_visual_map.v10.schema.json   OK
    testing: openpatch_agent_gateway_v16_candidate/schemas/openpatch.route_fix_suggestions.v10.schema.json   OK
    testing: openpatch_agent_gateway_v16_candidate/schemas/openpatch.agent_button.v11.schema.json   OK
    testing: openpatch_agent_gateway_v16_candidate/schemas/openpatch.config_lint.v11.schema.json   OK
    testing: openpatch_agent_gateway_v16_candidate/schemas/openpatch.smoke_plan.v11.schema.json   OK
    testing: openpatch_agent_gateway_v16_candidate/schemas/codex_brief.v15.schema.example.json   OK
    testing: openpatch_agent_gateway_v16_candidate/task_cards/   OK
    testing: openpatch_agent_gateway_v16_candidate/task_cards/FOR_CODEX_MINIMAL.md   OK
    testing: openpatch_agent_gateway_v16_candidate/task_cards/FOR_AUTO_CONTINUE.md   OK
    testing: openpatch_agent_gateway_v16_candidate/task_cards/FOR_REVIEWER.md   OK
    testing: openpatch_agent_gateway_v16_candidate/task_cards/FOR_CODEX_MINIMAL_V4.md   OK
    testing: openpatch_agent_gateway_v16_candidate/task_cards/FOR_CODEX_MINIMAL_V5.md   OK
    testing: openpatch_agent_gateway_v16_candidate/task_cards/FOR_AUTO_CONTINUE_V5.md   OK
    testing: openpatch_agent_gateway_v16_candidate/task_cards/FOR_CODEX_MINIMAL_V6.md   OK
    testing: openpatch_agent_gateway_v16_candidate/task_cards/FOR_AUTO_CONTINUE_V6.md   OK
    testing: openpatch_agent_gateway_v16_candidate/task_cards/FOR_REVIEWER_V6.md   OK
    testing: openpatch_agent_gateway_v16_candidate/task_cards/FOR_CODEX_MINIMAL_V7.md   OK
    testing: openpatch_agent_gateway_v16_candidate/task_cards/FOR_AUTO_CONTINUE_V7.md   OK
    testing: openpatch_agent_gateway_v16_candidate/task_cards/FOR_CODEX_MINIMAL_V8.md   OK
    testing: openpatch_agent_gateway_v16_candidate/task_cards/FOR_AUTO_CONTINUE_V8.md   OK
    testing: openpatch_agent_gateway_v16_candidate/task_cards/FOR_CODEX_MINIMAL_V9.md   OK
    testing: openpatch_agent_gateway_v16_candidate/task_cards/FOR_GITHUB_TEST_UPLOAD_V9.md   OK
    testing: openpatch_agent_gateway_v16_candidate/task_cards/FOR_CODEX_MINIMAL_V10.md   OK
    testing: openpatch_agent_gateway_v16_candidate/task_cards/FOR_AUTO_CONTINUE_V10.md   OK
    testing: openpatch_agent_gateway_v16_candidate/task_cards/FOR_GITHUB_TEST_UPLOAD_V10.md   OK
    testing: openpatch_agent_gateway_v16_candidate/task_cards/FOR_CODEX_MINIMAL_V11.md   OK
    testing: openpatch_agent_gateway_v16_candidate/task_cards/FOR_GITHUB_TEST_UPLOAD_V11.md   OK
    testing: openpatch_agent_gateway_v16_candidate/task_cards/FOR_CODEX_MINIMAL_V12.md   OK
    testing: openpatch_agent_gateway_v16_candidate/task_cards/FOR_AUTO_CONTINUE_V12.md   OK
    testing: openpatch_agent_gateway_v16_candidate/task_cards/FOR_GITHUB_TEST_UPLOAD_V12.md   OK
    testing: openpatch_agent_gateway_v16_candidate/task_cards/FOR_CODEX_MINIMAL_V13.md   OK
    testing: openpatch_agent_gateway_v16_candidate/task_cards/FOR_AUTO_CONTINUE_V13.md   OK
    testing: openpatch_agent_gateway_v16_candidate/task_cards/FOR_CODEX_MINIMAL_V14.md   OK
    testing: openpatch_agent_gateway_v16_candidate/task_cards/FOR_AUTO_CONTINUE_V14.md   OK
    testing: openpatch_agent_gateway_v16_candidate/task_cards/FOR_GITHUB_TEST_UPLOAD_V14.md   OK
    testing: openpatch_agent_gateway_v16_candidate/task_cards/FOR_CODEX_MINIMAL_V15.md   OK
    testing: openpatch_agent_gateway_v16_candidate/task_cards/FOR_AUTO_CONTINUE_V15.md   OK
    testing: openpatch_agent_gateway_v16_candidate/task_cards/FOR_CODEX_MINIMAL_V16.md   OK
    testing: openpatch_agent_gateway_v16_candidate/task_cards/FOR_AUTO_CONTINUE_V16.md   OK
    testing: openpatch_agent_gateway_v16_candidate/task_cards/FOR_GITHUB_TEST_UPLOAD_V16.md   OK
    testing: openpatch_agent_gateway_v16_candidate/checks/   OK
    testing: openpatch_agent_gateway_v16_candidate/checks/QA_CHECKLIST.md   OK
    testing: openpatch_agent_gateway_v16_candidate/checks/SELF_TEST_REPORT.md   OK
    testing: openpatch_agent_gateway_v16_candidate/checks/npm_run_check.log   OK
    testing: openpatch_agent_gateway_v16_candidate/checks/local_bridge_node_check.log   OK
    testing: openpatch_agent_gateway_v16_candidate/checks/local_bridge_health.json   OK
    testing: openpatch_agent_gateway_v16_candidate/checks/local_bridge_routes.json   OK
    testing: openpatch_agent_gateway_v16_candidate/checks/local_bridge_receipt_post.json   OK
    testing: openpatch_agent_gateway_v16_candidate/checks/local_bridge_status.json   OK
    testing: openpatch_agent_gateway_v16_candidate/checks/bridge_v4_server.log   OK
    testing: openpatch_agent_gateway_v16_candidate/checks/bridge_v4_health.json   OK
    testing: openpatch_agent_gateway_v16_candidate/checks/bridge_v4_cli_health.json   OK
    testing: openpatch_agent_gateway_v16_candidate/checks/bridge_v4_route_resolve.json   OK
    testing: openpatch_agent_gateway_v16_candidate/checks/bridge_v4_queue_enqueue.json   OK
    testing: openpatch_agent_gateway_v16_candidate/checks/bridge_v4_queue_status.json   OK
    testing: openpatch_agent_gateway_v16_candidate/checks/bridge_v4_receipt_post.json   OK
    testing: openpatch_agent_gateway_v16_candidate/checks/bridge_v4_latest.json   OK
    testing: openpatch_agent_gateway_v16_candidate/checks/bridge_v4_sha_index.json   OK
    testing: openpatch_agent_gateway_v16_candidate/checks/bridge_v4_dup_server.log   OK
    testing: openpatch_agent_gateway_v16_candidate/checks/bridge_v4_dup_receipt_1.json   OK
    testing: openpatch_agent_gateway_v16_candidate/checks/bridge_v4_dup_receipt_2.json   OK
    testing: openpatch_agent_gateway_v16_candidate/checks/npm_run_check_v4.log   OK
    testing: openpatch_agent_gateway_v16_candidate/checks/local_bridge_node_check_v4.log   OK
    testing: openpatch_agent_gateway_v16_candidate/checks/ledger_cli_node_check_v4.log   OK
    testing: openpatch_agent_gateway_v16_candidate/checks/SELF_TEST_REPORT_V4.md   OK
    testing: openpatch_agent_gateway_v16_candidate/checks/bridge_v5_health.json   OK
    testing: openpatch_agent_gateway_v16_candidate/checks/bridge_v5_config_status.json   OK
    testing: openpatch_agent_gateway_v16_candidate/checks/bridge_v5_archive_dry_run.json   OK
    testing: openpatch_agent_gateway_v16_candidate/checks/bridge_v5_latest.json   OK
    testing: openpatch_agent_gateway_v16_candidate/checks/bridge_v5_sha_index.json   OK
    testing: openpatch_agent_gateway_v16_candidate/checks/npm_test_v5.log   OK
    testing: openpatch_agent_gateway_v16_candidate/checks/npm_run_check_v5.log   OK
    testing: openpatch_agent_gateway_v16_candidate/checks/SELF_TEST_REPORT_V5.md   OK
    testing: openpatch_agent_gateway_v16_candidate/checks/npm_test_v6.log   OK
    testing: openpatch_agent_gateway_v16_candidate/checks/npm_run_check_v6.log   OK
    testing: openpatch_agent_gateway_v16_candidate/checks/bridge_v6_server.log   OK
    testing: openpatch_agent_gateway_v16_candidate/checks/bridge_v6_health.json   OK
    testing: openpatch_agent_gateway_v16_candidate/checks/bridge_v6_auto_continue_plan.json   OK
    testing: openpatch_agent_gateway_v16_candidate/checks/bridge_v6_archive_dry_run.json   OK
    testing: openpatch_agent_gateway_v16_candidate/checks/bridge_v6_agent_summary.json   OK
    testing: openpatch_agent_gateway_v16_candidate/checks/bridge_v6_receipt_query.json   OK
    testing: openpatch_agent_gateway_v16_candidate/checks/bridge_v6_queue_enqueue.json   OK
    testing: openpatch_agent_gateway_v16_candidate/checks/bridge_v6_queue_claim.json   OK
    testing: openpatch_agent_gateway_v16_candidate/checks/bridge_v6_queue_retry.json   OK
    testing: openpatch_agent_gateway_v16_candidate/checks/bridge_v6_events.json   OK
    testing: openpatch_agent_gateway_v16_candidate/checks/bridge_v6_cli_agent_summary.json   OK
    testing: openpatch_agent_gateway_v16_candidate/checks/SELF_TEST_REPORT_V6.md   OK
    testing: openpatch_agent_gateway_v16_candidate/checks/npm_test_v7.log   OK
    testing: openpatch_agent_gateway_v16_candidate/checks/npm_run_check_v7.log   OK
    testing: openpatch_agent_gateway_v16_candidate/checks/bridge_v7_server.log   OK
    testing: openpatch_agent_gateway_v16_candidate/checks/bridge_v7_health.json   OK
    testing: openpatch_agent_gateway_v16_candidate/checks/bridge_v7_compact_summary_empty.json   OK
    testing: openpatch_agent_gateway_v16_candidate/checks/bridge_v7_archive_dry_run.json   OK
    testing: openpatch_agent_gateway_v16_candidate/checks/bridge_v7_compact_summary_after_archive.json   OK
    testing: openpatch_agent_gateway_v16_candidate/checks/bridge_v7_queue_enqueue.json   OK
    testing: openpatch_agent_gateway_v16_candidate/checks/bridge_v7_queue_claim_batch.json   OK
    testing: openpatch_agent_gateway_v16_candidate/checks/bridge_v7_queue_stats.json   OK
    testing: openpatch_agent_gateway_v16_candidate/checks/bridge_v7_receipts_recent.json   OK
    testing: openpatch_agent_gateway_v16_candidate/checks/v7_parallel_archive_smoke.mjs   OK
    testing: openpatch_agent_gateway_v16_candidate/checks/bridge_v7_parallel_server.log   OK
    testing: openpatch_agent_gateway_v16_candidate/checks/bridge_v7_parallel_archive_smoke.json   OK
    testing: openpatch_agent_gateway_v16_candidate/checks/SELF_TEST_REPORT_V7.md   OK
    testing: openpatch_agent_gateway_v16_candidate/checks/local_bridge_node_check_v7.log   OK
    testing: openpatch_agent_gateway_v16_candidate/checks/ledger_cli_node_check_v7.log   OK
    testing: openpatch_agent_gateway_v16_candidate/checks/auto_continue_adapter_node_check_v7.log   OK
    testing: openpatch_agent_gateway_v16_candidate/checks/npm_test_v8.log   OK
    testing: openpatch_agent_gateway_v16_candidate/checks/npm_run_check_v8.log   OK
    testing: openpatch_agent_gateway_v16_candidate/checks/bridge_v8_server.log   OK
    testing: openpatch_agent_gateway_v16_candidate/checks/bridge_v8_health.json   OK
    testing: openpatch_agent_gateway_v16_candidate/checks/bridge_v8_rate_limit_status.json   OK
    testing: openpatch_agent_gateway_v16_candidate/checks/bridge_v8_stress_archive_50.json   OK
    testing: openpatch_agent_gateway_v16_candidate/checks/bridge_v8_queue_stats.json   OK
    testing: openpatch_agent_gateway_v16_candidate/checks/bridge_v8_compact_summary.json   OK
    testing: openpatch_agent_gateway_v16_candidate/checks/bridge_v8_events_compact.json   OK
    testing: openpatch_agent_gateway_v16_candidate/checks/bridge_v8_cli_rate_limit_status.json   OK
    testing: openpatch_agent_gateway_v16_candidate/checks/SELF_TEST_REPORT_V8.md   OK
    testing: openpatch_agent_gateway_v16_candidate/checks/npm_test_v9.log   OK
    testing: openpatch_agent_gateway_v16_candidate/checks/npm_run_check_v9.log   OK
    testing: openpatch_agent_gateway_v16_candidate/checks/local_bridge_node_check_v9.log   OK
    testing: openpatch_agent_gateway_v16_candidate/checks/ledger_cli_node_check_v9.log   OK
    testing: openpatch_agent_gateway_v16_candidate/checks/auto_continue_adapter_node_check_v9.log   OK
    testing: openpatch_agent_gateway_v16_candidate/checks/bridge_v9_server.log   OK
    testing: openpatch_agent_gateway_v16_candidate/checks/bridge_v9_health.json   OK
    testing: openpatch_agent_gateway_v16_candidate/checks/bridge_v9_routes_conflicts_static.json   OK
    testing: openpatch_agent_gateway_v16_candidate/checks/bridge_v9_routes_conflicts_dynamic.json   OK
    testing: openpatch_agent_gateway_v16_candidate/checks/bridge_v9_resolve_route.json   OK
    testing: openpatch_agent_gateway_v16_candidate/checks/bridge_v9_cli_routes_conflicts.json   OK
    testing: openpatch_agent_gateway_v16_candidate/checks/bridge_v9_stress_archive_300.json   OK
    testing: openpatch_agent_gateway_v16_candidate/checks/bridge_v9_queue_enqueue.json   OK
    testing: openpatch_agent_gateway_v16_candidate/checks/bridge_v9_queue_claim.json   OK
    testing: openpatch_agent_gateway_v16_candidate/checks/bridge_v9_queue_server.log   OK
    testing: openpatch_agent_gateway_v16_candidate/checks/bridge_v9_queue_health.json   OK
    testing: openpatch_agent_gateway_v16_candidate/checks/bridge_v9_queue_reclaim_expired.json   OK
    testing: openpatch_agent_gateway_v16_candidate/checks/SELF_TEST_REPORT_V9.md   OK
    testing: openpatch_agent_gateway_v16_candidate/checks/npm_test_v10.log   OK
    testing: openpatch_agent_gateway_v16_candidate/checks/npm_run_check_v10.log   OK
    testing: openpatch_agent_gateway_v16_candidate/checks/local_bridge_node_check_v10.log   OK
    testing: openpatch_agent_gateway_v16_candidate/checks/ledger_cli_node_check_v10.log   OK
    testing: openpatch_agent_gateway_v16_candidate/checks/auto_continue_adapter_node_check_v10.log   OK
    testing: openpatch_agent_gateway_v16_candidate/checks/bridge_v10_server.log   OK
    testing: openpatch_agent_gateway_v16_candidate/checks/bridge_v10_health.json   OK
    testing: openpatch_agent_gateway_v16_candidate/checks/bridge_v10_routes_visual.json   OK
    testing: openpatch_agent_gateway_v16_candidate/checks/bridge_v10_routes_fix_suggestions.json   OK
    testing: openpatch_agent_gateway_v16_candidate/checks/bridge_v10_route_stress_150.json   OK
    testing: openpatch_agent_gateway_v16_candidate/checks/bridge_v10_cli_routes_visual.json   OK
    testing: openpatch_agent_gateway_v16_candidate/checks/bridge_v10_cli_routes_fix_suggestions.json   OK
    testing: openpatch_agent_gateway_v16_candidate/checks/bridge_v10_cli_stress_routes.json   OK
    testing: openpatch_agent_gateway_v16_candidate/checks/SELF_TEST_REPORT_V10.md   OK
    testing: openpatch_agent_gateway_v16_candidate/checks/npm_test_v11.log   OK
    testing: openpatch_agent_gateway_v16_candidate/checks/npm_run_check_v11.log   OK
    testing: openpatch_agent_gateway_v16_candidate/checks/local_bridge_node_check_v11.log   OK
    testing: openpatch_agent_gateway_v16_candidate/checks/ledger_cli_node_check_v11.log   OK
    testing: openpatch_agent_gateway_v16_candidate/checks/auto_continue_adapter_node_check_v11.log   OK
    testing: openpatch_agent_gateway_v16_candidate/checks/bridge_v11_server.log   OK
    testing: openpatch_agent_gateway_v16_candidate/checks/bridge_v11_health.json   OK
    testing: openpatch_agent_gateway_v16_candidate/checks/bridge_v11_config_lint.json   OK
    testing: openpatch_agent_gateway_v16_candidate/checks/bridge_v11_smoke_plan.json   OK
    testing: openpatch_agent_gateway_v16_candidate/checks/bridge_v11_instances_empty.json   OK
    testing: openpatch_agent_gateway_v16_candidate/checks/bridge_v11_instance_register.json   OK
    testing: openpatch_agent_gateway_v16_candidate/checks/bridge_v11_instances_after.json   OK
    testing: openpatch_agent_gateway_v16_candidate/checks/bridge_v11_cli_config_lint.json   OK
    testing: openpatch_agent_gateway_v16_candidate/checks/bridge_v11_cli_smoke_plan.json   OK
    testing: openpatch_agent_gateway_v16_candidate/checks/bridge_v11_cli_instance_register.json   OK
    testing: openpatch_agent_gateway_v16_candidate/checks/bridge_v11_cli_instances.json   OK
    testing: openpatch_agent_gateway_v16_candidate/checks/bridge_v11_archive_dry_run.json   OK
    testing: openpatch_agent_gateway_v16_candidate/checks/bridge_v11_compact_summary.json   OK
    testing: openpatch_agent_gateway_v16_candidate/checks/SELF_TEST_REPORT_V11.md   OK
    testing: openpatch_agent_gateway_v16_candidate/checks/npm_test_v12.log   OK
    testing: openpatch_agent_gateway_v16_candidate/checks/npm_run_check_v12.log   OK
    testing: openpatch_agent_gateway_v16_candidate/checks/local_bridge_node_check_v12.log   OK
    testing: openpatch_agent_gateway_v16_candidate/checks/ledger_cli_node_check_v12.log   OK
    testing: openpatch_agent_gateway_v16_candidate/checks/bridge_v12_server.log   OK
    testing: openpatch_agent_gateway_v16_candidate/checks/bridge_v12_health.json   OK
    testing: openpatch_agent_gateway_v16_candidate/checks/bridge_v12_config_lint.json   OK
    testing: openpatch_agent_gateway_v16_candidate/checks/bridge_v12_readiness.json   OK
    testing: openpatch_agent_gateway_v16_candidate/checks/bridge_v12_codex_handoff.json   OK
    testing: openpatch_agent_gateway_v16_candidate/checks/bridge_v12_evidence_template.json   OK
    testing: openpatch_agent_gateway_v16_candidate/checks/bridge_v12_instance_register.json   OK
    testing: openpatch_agent_gateway_v16_candidate/checks/bridge_v12_instances_prune.json   OK
    testing: openpatch_agent_gateway_v16_candidate/checks/bridge_v12_cli_readiness.json   OK
    testing: openpatch_agent_gateway_v16_candidate/checks/bridge_v12_cli_codex_handoff.json   OK
    testing: openpatch_agent_gateway_v16_candidate/checks/bridge_v12_cli_evidence_template.json   OK
    testing: openpatch_agent_gateway_v16_candidate/checks/SELF_TEST_REPORT_V12.md   OK
    testing: openpatch_agent_gateway_v16_candidate/checks/npm_test_v13.log   OK
    testing: openpatch_agent_gateway_v16_candidate/checks/npm_run_check_v13.log   OK
    testing: openpatch_agent_gateway_v16_candidate/checks/local_bridge_node_check_v13.log   OK
    testing: openpatch_agent_gateway_v16_candidate/checks/ledger_cli_node_check_v13.log   OK
    testing: openpatch_agent_gateway_v16_candidate/checks/bridge_v13_health.json   OK
    testing: openpatch_agent_gateway_v16_candidate/checks/bridge_v13_config_snapshot.json   OK
    testing: openpatch_agent_gateway_v16_candidate/checks/bridge_v13_config_lint.json   OK
    testing: openpatch_agent_gateway_v16_candidate/checks/bridge_v13_projects.json   OK
    testing: openpatch_agent_gateway_v16_candidate/checks/bridge_v13_next_action.json   OK
    testing: openpatch_agent_gateway_v16_candidate/checks/bridge_v13_cli_config_snapshot.json   OK
    testing: openpatch_agent_gateway_v16_candidate/checks/bridge_v13_cli_next_action_after_archive.json   OK
    testing: openpatch_agent_gateway_v16_candidate/checks/bridge_v13_archive_dry_run.json   OK
    testing: openpatch_agent_gateway_v16_candidate/checks/bridge_v13_example_config_lint.json   OK
    testing: openpatch_agent_gateway_v16_candidate/checks/bridge_v13_example_config_snapshot.json   OK
    testing: openpatch_agent_gateway_v16_candidate/checks/bridge_v13_example_projects.json   OK
    testing: openpatch_agent_gateway_v16_candidate/checks/bridge_v13_example_cli_next_action.json   OK
    testing: openpatch_agent_gateway_v16_candidate/checks/SELF_TEST_REPORT_V13.md   OK
    testing: openpatch_agent_gateway_v16_candidate/checks/npm_test_v14.log   OK
    testing: openpatch_agent_gateway_v16_candidate/checks/npm_run_check_v14.log   OK
